mission_cleaned,profil_cleaned,title_cleaned,cluster,famille_poste,technical_skills,soft_skills,qualifications,technical_skills_count,soft_skills_count,years_experience,education_level,languages
afin renforcer strategie referencement naturel recrutons webmarketer seo experimente si etes passionne optimisation moteurs recherche souhaitez evoluer environnement stimulant cette offre faite missions tant webmarketer seo responsable visibilite positionnement sites web entreprise moteurs recherche principales missions elaborer deployer strategies seo ameliorer classement pages web realiser audits seo techniques semantiques optimiser contenus referencement naturel mots cles balises maillage interne etc suivre evolutions algorithmes moteurs recherche google bing etc analyser performances seo proposer axes amelioration kpi google analytics google search console creer gerer strategie netlinking collaborer equipes marketing editoriales techniques mise place optimisations seo mettre place veille concurrentielle suivre tendances seo,diplome marketing digital communication informatique bac experience ans domaine seo maitrise outils seo semrush ahrefs google search console etc bonne connaissance algorithmes moteurs recherche pratiques optimisation technique capacite analyser performances seo proposer actions correctives autonomie rigueur gout travail equipe excellente capacite redactionnelle maitrise techniques redaction web optimisee seo competences techniques connaissance principaux cms wordpress drupal etc maitrise outils analyse web google analytics screaming frog etc solides competences html css optimisations techniques connaissance bases sea pourquoi rejoindre evolution entreprise innovante axee digital ambiance travail bienveillante collaborative opportunites evolution formations regulieres nouvelles pratiques seo,webmarketer seo,0,Support / Service Client,"seo, audit, go, sem, google analytics",analyse,,5,1,,,
afin renforcer strategie referencement naturel recrutons webmarketer seo experimente si etes passionne optimisation moteurs recherche souhaitez evoluer environnement stimulant cette offre faite missions tant webmarketer seo responsable visibilite positionnement sites web entreprise moteurs recherche principales missions elaborer deployer strategies seo ameliorer classement pages web realiser audits seo techniques semantiques optimiser contenus referencement naturel mots cles balises maillage interne etc suivre evolutions algorithmes moteurs recherche google bing etc analyser performances seo proposer axes amelioration kpi google analytics google search console creer gerer strategie netlinking collaborer equipes marketing editoriales techniques mise place optimisations seo mettre place veille concurrentielle suivre tendances seo,diplome marketing digital communication informatique bac experience ans domaine seo maitrise outils seo semrush ahrefs google search console etc bonne connaissance algorithmes moteurs recherche pratiques optimisation technique capacite analyser performances seo proposer actions correctives autonomie rigueur gout travail equipe excellente capacite redactionnelle maitrise techniques redaction web optimisee seo competences techniques connaissance principaux cms wordpress drupal etc maitrise outils analyse web google analytics screaming frog etc solides competences html css optimisations techniques connaissance bases sea pourquoi rejoindre evolution entreprise innovante axee digital ambiance travail bienveillante collaborative opportunites evolution formations regulieres nouvelles pratiques seo,webmarketer seo,0,Support / Service Client,"seo, audit, go, sem, google analytics",analyse,,5,1,,,
pubs payantes gestion publicites payantes ensemble regies google meta gestion traduction publicites via agence traduction google ads optimisation campagnes publicites formation donnee newsletters creation gestion envoi newsletters contacter petits influenceurs adapter newsletter cible gerer relation questions influenceurs chercher nouveaux partenariats chercher partenaires affiliations visibilite,maitrise parfaite francais lu ecrit parle anglais experiences similaires souhaitees autonomie rigueur professionnalisme exiges polyvalence force proposition qualites requises,webmarketer,0,Support / Service Client,"go, sem",,,2,0,,,
mettre place strategie digitale accord strategie marketing entreprise concevoir optimiser sites internet demandes creer actions communication promotion autour site cree redaction articles insertion annuaires strategie netlinking etc analyser concurrence performances site,avoir moins annees experience professionnelle maitrise outils suivants wordpress google ads google analytics search console semrush etc forte connaissance seo sea aso sem autres techniques referencement web forte capacite redaction web integration web maitrise langue francaise anglais atout sens innovation autodidacte sens travail equipe bon communicant,webmarketer,0,Support / Service Client,,"communication, analyse",,0,2,,,
recherche webdesigner talentueux rejoindre equipe dynamique tant webdesigner responsable conception integration sites web plateformes prestashop wordpress mission consistera creer interfaces utilisateur attrayants fonctionnels utilisant competences html css responsabilites concevoir maquettes sites web attrayantes conviviales integrer maquettes approuvees themes prestashop wordpress collaborer equipes developpement assurer optimisation compatibilite sites maintenir mettre jour sites existants selon besoins,experience tant webdesigner role similaire maitrise avancee html css capacite travailler efficacement environnement collaboratif connaissance pratique prestashop wordpress excellente attention details souci travail qualite atouts competences conception graphique utilisation outils comme adobe photoshop adobe xd equivalent connaissance tendances actuelles design web experience adaptation projets specifiques nb debutant fort potentiel accepte ravis accueillir equipe envoyez cv portfolio postuler maintenant,webdesigner html css,0,Support / Service Client,"css, wordpress, html",,,3,0,,,
web merchandiser joue role cle valorisation produits optimisation experience utilisateur objectif principal augmenter ventes mettant avant produits pertinents facilitant parcours achat missions principales assurer gestion catalogue produits enrichissement fiches produits optimisation referencement naturel seo creation visuels attractifs creer selections produits personnalisees gerer visuels pages categories sous categories ameliorer ergonomie site afin faciliter recherche navigation utilisateurs mettre place filtres facettes recherche pertinents creer campagnes marketing ciblees assurer mise place recommandations produits personnalisees fonction comportement navigation utilisateurs faire suivi performances ventes navigation,titulaire diplome licence commerce marketing experience probante domaine commerce idealement poste similaire maitrise outils gestion catalogue creation graphique photoshop illustrator analyses donnees google analytics capacite comprendre produits mettre valeur gout prononce design presentation visuelle fortes capacites analyse resolution problemes capacite trouver idees originales mettre valeur produits bonnes competences communication ecrite orale capacite travailler maniere autonome tout collaborant efficacement autres equipes rigueur curieux organise candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,web merchandiser,17,Informatique / Developpement,"seo, go, sem",,,3,0,,,
web merchandiser joue role cle valorisation produits optimisation experience utilisateur objectif principal augmenter ventes mettant avant produits pertinents facilitant parcours achat missions principales assurer gestion catalogue produits enrichissement fiches produits optimisation referencement naturel seo creation visuels attractifs creer selections produits personnalisees gerer visuels pages categories sous categories ameliorer ergonomie site afin faciliter recherche navigation utilisateurs mettre place filtres facettes recherche pertinents creer campagnes marketing ciblees assurer mise place recommandations produits personnalisees fonction comportement navigation utilisateurs faire suivi performances ventes navigation,titulaire diplome licence commerce marketing experience probante domaine commerce idealement poste similaire maitrise outils gestion catalogue creation graphique photoshop illustrator analyses donnees google analytics capacite comprendre produits mettre valeur gout prononce design presentation visuelle fortes capacites analyse resolution problemes capacite trouver idees originales mettre valeur produits bonnes competences communication ecrite orale capacite travailler maniere autonome tout collaborant efficacement autres equipes rigueur curieux organise candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,web merchandiser,17,Informatique / Developpement,"seo, go, sem",,,3,0,,,
web merchandiser joue role cle valorisation produits optimisation experience utilisateur objectif principal augmenter ventes mettant avant produits pertinents facilitant parcours achat missions principales assurer gestion catalogue produits enrichissement fiches produits optimisation referencement naturel seo creation visuels attractifs creer selections produits personnalisees gerer visuels pages categories sous categories ameliorer ergonomie site afin faciliter recherche navigation utilisateurs mettre place filtres facettes recherche pertinents creer campagnes marketing ciblees assurer mise place recommandations produits personnalisees fonction comportement navigation utilisateurs faire suivi performances ventes navigation,titulaire diplome licence commerce marketing experience probante domaine commerce idealement poste similaire maitrise outils gestion catalogue creation graphique photoshop illustrator analyses donnees google analytics capacite comprendre produits mettre valeur gout prononce design presentation visuelle fortes capacites analyse resolution problemes capacite trouver idees originales mettre valeur produits bonnes competences communication ecrite orale capacite travailler maniere autonome tout collaborant efficacement autres equipes rigueur curieux organise candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,web merchandiser,17,Informatique / Developpement,"seo, go, sem",,,3,0,,,
web merchandiser joue role cle valorisation produits optimisation experience utilisateur objectif principal augmenter ventes mettant avant produits pertinents facilitant parcours achat missions principales assurer gestion catalogue produits enrichissement fiches produits optimisation referencement naturel seo creation visuels attractifs creer selections produits personnalisees gerer visuels pages categories sous categories ameliorer ergonomie site afin faciliter recherche navigation utilisateurs mettre place filtres facettes recherche pertinents creer campagnes marketing ciblees assurer mise place recommandations produits personnalisees fonction comportement navigation utilisateurs faire suivi performances ventes navigation,titulaire diplome licence commerce marketing experience probante domaine commerce idealement poste similaire maitrise outils gestion catalogue creation graphique photoshop illustrator analyses donnees google analytics capacite comprendre produits mettre valeur gout prononce design presentation visuelle fortes capacites analyse resolution problemes capacite trouver idees originales mettre valeur produits bonnes competences communication ecrite orale capacite travailler maniere autonome tout collaborant efficacement autres equipes rigueur curieux organise candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,web merchandiser,17,Informatique / Developpement,"seo, go, sem",,,3,0,,,
web merchandiser joue role cle valorisation produits optimisation experience utilisateur objectif principal augmenter ventes mettant avant produits pertinents facilitant parcours achat missions principales assurer gestion catalogue produits enrichissement fiches produits optimisation referencement naturel seo creation visuels attractifs creer selections produits personnalisees gerer visuels pages categories sous categories ameliorer ergonomie site afin faciliter recherche navigation utilisateurs mettre place filtres facettes recherche pertinents creer campagnes marketing ciblees assurer mise place recommandations produits personnalisees fonction comportement navigation utilisateurs faire suivi performances ventes navigation,titulaire diplome licence commerce marketing experience probante domaine commerce idealement poste similaire maitrise outils gestion catalogue creation graphique photoshop illustrator analyses donnees google analytics capacite comprendre produits mettre valeur gout prononce design presentation visuelle fortes capacites analyse resolution problemes capacite trouver idees originales mettre valeur produits bonnes competences communication ecrite orale capacite travailler maniere autonome tout collaborant efficacement autres equipes rigueur curieux organise candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,web merchandiser,17,Informatique / Developpement,"seo, go, sem",,,3,0,,,
web merchandiser joue role cle valorisation produits optimisation experience utilisateur objectif principal augmenter ventes mettant avant produits pertinents facilitant parcours achat missions principales assurer gestion catalogue produits enrichissement fiches produits optimisation referencement naturel seo creation visuels attractifs creer selections produits personnalisees gerer visuels pages categories sous categories ameliorer ergonomie site afin faciliter recherche navigation utilisateurs mettre place filtres facettes recherche pertinents creer campagnes marketing ciblees assurer mise place recommandations produits personnalisees fonction comportement navigation utilisateurs faire suivi performances ventes navigation,titulaire diplome licence commerce marketing experience probante domaine commerce idealement poste similaire maitrise outils gestion catalogue creation graphique photoshop illustrator analyses donnees google analytics capacite comprendre produits mettre valeur gout prononce design presentation visuelle fortes capacites analyse resolution problemes capacite trouver idees originales mettre valeur produits bonnes competences communication ecrite orale capacite travailler maniere autonome tout collaborant efficacement autres equipes rigueur curieux organise candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,web merchandiser,17,Informatique / Developpement,"seo, go, sem",,,3,0,,,
gestion editoriale contenus valoriser activites etablissement thematiques variees proposant contenus adaptes tout veillant respect coherence strategie editoriale web rediger publier articles adaptes web lien principales missions projets etablissement decliner adapter communication graphique web collaboration graphiste assurer suivi tableaux bord evaluer utilisation site internautes travers analyse statistique accompagner conseiller directions services besoins web assurer valorisation informations transmises animer developper reseau contributeurs web presents sein composantes services former equipes editoriales reseaux contributeurs web cms ecriture web etc projets web prendre part equipe projet refonte web participer animer groupes travail lien projet accompagner chef projet echanges prestataire web produire comptes rendus documents suivi,formation professionnelle experience bac minimum formation associee domaine information communication specialisation web,web master teletravail,0,Support / Service Client,"tableau, sem","communication, analyse",master,2,2,,Master,
recherchons developpeur react native expo passionne experimente rejoindre equipe travaillerez developpement amelioration applications utilisant react native bonne maitrise react native cli expo role cle gestion projets force proposition ameliorer solutions missions principales concevoir developper maintenir applications mobiles performantes intuitives react native expo assurer optimisation amelioration continue applications integrer api bases donnees gerer cycle vie applications ios android collaborer designers autres developpeurs experience utilisateur optimale assurer veille technologique proposer solutions innovantes participer gestion projet apportant expertise technique,experience significative developpement mobile react maitrise react native cli expo bonne connaissance javascript typescript experience integration api rest firebase competences gestion projet autonomie prise initiative experience outils versioning git capacite travailler equipe communiquer efficacement experience publication applications app store google play,web developpeur react native expo,0,Support / Service Client,react,,expert,1,0,,,
responsabilites comprendront developpement maintenance fonctionnalites mise page applications web si experience averee creation applications web partir zero connaissance approfondie php poste imperatif avoir excellent niveau anglais ecrit oral afin communiquer correctement clients exterieur principales responsabilites taches rediger code bien concu efficace utilisant meilleures pratiques developpement collaborer autres membres equipe parties prenantes lancer nouvelles versions ameliorer fonctionnalites existantes integrer donnees provenant divers services back end bases donnees rester affut technologies emergentes tendances secteur appliquer operations activites effectuer autres taches liees metier selon directives superviseur evaluer meilleures technologies meilleurs langages projets creer maintenir bases donnees executer tests evaluation performances refactoriser optimiser code existant participer soutien quotidien production depannage application correctifs resoudre bogues critiques creer maintenir documentation technique afin autres developpeurs puissent comprendre contribuer code connaissances competences essentielles experiences professionnelles experience professionnelle averee programmation web experience developpement html css javascript jquery php x php experience services web developpement api soap rest experience framework php mvc exemple laravel experience comprehension serveurs web experience pratique diagnostics reseau outils analyse reseau experience utilisation outil edition images experience formation certificats,excellent niveau anglais bonne comprehension outils version idealement git solide comprehension fonctionnement applications web notamment securite gestion sessions meilleures pratiques developpement connaissance adequate systemes bases donnees relationnelles mysql programmation orientee objet developpement applications web solides competences organisationnelles permettant jongler multiples taches respect delais impartis capacite travailler epanouir environnement rythme soutenu apprendre rapidement maitriser diverses technologies techniques web titulaire diplome grade domaine informatique minimum ans conception developpement technique php,web developpeur php,0,Support / Service Client,"css, java, laravel, html, php, excel, javascript",analyse,"bac, anglais",7,1,,Baccalauréat,Anglais
developpeur web sous wordpress,freelance cdd possible cdi lundi vendredi h h dejeuner offert h pause salaire aar possible paye semaine,web developpeur,0,Support / Service Client,wordpress,,,1,0,,,
offre emploi webflow developer confirme poste base salaire mga experience minimum ans webflow objectifs poste concevoir sites webflow performants optimises adaptes besoins clients respecter delais serres tout maintenant qualite irreprochable collaborer designers responsables projets garantir livrables ligne attentes missions principales creation developpement sites webflow integrer rapidement wireframes generes via relume concevoir sites responsive optimises seo haut niveau performance optimisation ajustements techniques configurer solutions personnalisees cms webflow interactions animations ameliorer vitesse accessibilite referencement technique sites livres collaboration equipe travailler binome web graphic designer transformer maquettes sites fonctionnels adapter designs fonction contraintes techniques attentes clients livraison suivi gerer plusieurs projets simultanement deadlines courtes assurer maintenance mises jour ajustements post livraison competences qualites requises competences techniques webflow maitrise avancee compris cms collections interactions complexes relume integration rapide wireframes atout apprecie html css bonne maitrise completer limites webflow seo technique connaissance bonnes pratiques balises structure performance qualites personnelles efficacite gestion fluide plusieurs projets parallele rigueur respect delais standards qualite polyvalence capacite resoudre problematiques techniques autonomie dynamisme esprit startup sens initiative adaptabilite informations pratiques localisation remuneration mga brut mois horaires temps plein h semaine horaires francais type contrat cdi periode essai,competences techniques webflow maitrise avancee compris cms collections interactions complexes relume integration rapide wireframes atout apprecie html css bonne maitrise completer limites webflow seo technique connaissance bonnes pratiques balises structure performance qualites personnelles efficacite gestion fluide plusieurs projets parallele rigueur respect delais standards qualite polyvalence capacite resoudre problematiques techniques autonomie dynamisme esprit startup sens initiative adaptabilite,web developer,0,Support / Service Client,"seo, css, sem, html","rigueur, adaptabilite, dynamisme, autonomie","confirme, francais",4,4,,,Français
informations importantes salaire millions mga lieu objectifs concevoir designs creatifs optimises webflow produire visuels multiclients repondant besoins specifiques projets collaborer etroitement web developer garantir sites performants esthetiques missions principales creation maquettes wireframes proposer wireframes rapides fonctionnels via relume figma concevoir maquettes ui ux optimisees webflow alignees besoins clients respecter refleter identites visuelles clients designs intuitifs design graphique creer visuels sites web reseaux sociaux newsletters branding concevoir logos chartes graphiques guides style adaptes chaque client adapter supports graphiques differents formats requis collaboration web developer fournir maquettes assets optimises integration rapide webflow ajuster designs selon contraintes techniques garantir coherence entre maquettes versions finales sites optimisation visuels gestion multiclients creer visuels legers temps chargement rapides respecter normes seo optimiser performances web gerer plusieurs projets parallele tout maintenant creativite constante competences outils maitriser outils design ui ux figma wireframes maquettes interactives prototypes relume library generation rapide wireframes prets webflow outils creation graphique adobe photoshop edition images retouches adobe illustrator creation logos elements vectoriels canva designs rapides reseaux sociaux outils techniques collaboration webflow cms organisation optimisation contenus dynamiques trello clickup asana gestion projets slack google drive communication partage fichiers profil recherche experience minimum ans design web graphique idealement multiclients competences sens esthetique souci detail maitrise processus ux qualites organisation creativite capacite gerer plusieurs projets simultanement postulez maintenant,experience minimum ans design web graphique idealement multiclients competences sens esthetique souci detail maitrise processus ux qualites organisation creativite capacite gerer plusieurs projets simultanement,web designer relume figma,0,Support / Service Client,"seo, photoshop, go, canva, illustrator, figma","creativite, organisation, communication",,6,3,,,
